Year,Region,State,District,Population,Plastic Waste (kg),Plastic Type,Source
2020,India,Nagaland,Howrah,4506205,37932.14706039416,PVC,Household
2016,India,Karnataka,Varanasi,206059,49022.9937805961,PVC,Packaging
2021,India,Gujarat,Siliguri,2268027,4013.757708137567,PP,Household
2021,India,Karnataka,Siliguri,5817026,47538.09801366731,PVC,Packaging
2022,India,Nagaland,Howrah,4543572,31597.66216695704,PVC,Industrial
2017,India,Karnataka,Siliguri,2279407,16540.543145194526,PVC,Packaging
2019,India,Karnataka,Siliguri,2200056,15761.052255838938,PVC,Packaging
2022,India,Karnataka,Siliguri,2747331,41001.89038832111,Other,Household
2024,India,Nagaland,Varanasi,7187476,6651.136928867189,PVC,Packaging
2019,India,Nagaland,Varanasi,6155566,17007.635766540447,Other,Household
2015,India,Karnataka,Howrah,9130649,13690.143848756676,Other,Household
2015,India,Karnataka,Siliguri,9195725,46185.18731239709,PVC,Packaging
2020,India,Nagaland,Howrah,9847440,24817.36543307449,Other,Household
2022,India,Karnataka,Siliguri,7579802,24741.320023132346,PVC,Packaging
2018,India,Gujarat,Varanasi,7755103,6540.7147239297665,PP,Household
2016,India,Nagaland,Howrah,2657937,45404.4772340566,Other,Industrial
2024,India,Karnataka,Howrah,9426535,17766.380796282676,PP,Household
2018,India,Nagaland,Siliguri,9054635,11987.935483377412,Other,Household
2016,India,Nagaland,Siliguri,4450417,9133.243643088841,PVC,Industrial
2015,India,Karnataka,Varanasi,6534332,29844.102492321632,PP,Household
2016,India,Nagaland,Howrah,7040537,37573.370064957,PP,Industrial
2022,India,Gujarat,Siliguri,5941601,25742.618818554463,PVC,Household
2016,India,Gujarat,Howrah,5750095,33056.06512190188,PVC,Packaging
2024,India,Karnataka,Siliguri,8436908,18012.534053315296,PP,Household
2017,India,Gujarat,Howrah,5279231,44130.60362639457,PVC,Household
2015,India,Gujarat,Varanasi,4912685,12912.083403917373,PP,Packaging
2019,India,Gujarat,Varanasi,6966088,43801.23701232488,Other,Industrial
2016,India,Gujarat,Howrah,9365954,27106.69806837914,PP,Industrial
2016,India,Nagaland,Howrah,7033893,19246.53654211552,Other,Packaging
2023,India,Karnataka,Siliguri,132059,3104.5101234828694,PP,Packaging
2015,India,Nagaland,Howrah,2465824,11196.746795239995,PVC,Packaging
2019,India,Gujarat,Howrah,6422766,39557.86333534339,PVC,Industrial
2024,India,Karnataka,Varanasi,5365804,30599.585879058464,PP,Household
2016,India,Nagaland,Howrah,5034605,47754.940567187616,PVC,Packaging
2020,India,Gujarat,Howrah,607998,41904.26538031471,PP,Household
2017,India,Nagaland,Siliguri,2728187,33644.26345240249,Other,Industrial
2015,India,Nagaland,Howrah,7244207,18333.587325849177,PVC,Packaging
2021,India,Karnataka,Howrah,3146122,49486.307197679875,Other,Industrial
2022,India,Nagaland,Varanasi,3920445,12899.752275978764,Other,Packaging
2018,India,Gujarat,Varanasi,760277,13646.854747333355,PVC,Packaging
2023,India,Nagaland,Howrah,6081979,1852.5331328033155,Other,Packaging
2019,India,Gujarat,Varanasi,9274902,27390.047138022604,PVC,Packaging
2021,India,Karnataka,Varanasi,9474310,49960.437412096704,PP,Household
2018,India,Karnataka,Howrah,1968940,41238.81215098306,PVC,Household
2018,India,Gujarat,Siliguri,3859716,7496.340203434189,Other,Packaging
2024,India,Gujarat,Howrah,8227632,41223.87669490297,PP,Industrial
2024,India,Gujarat,Varanasi,7567809,37515.906202297716,PVC,Household
2016,India,Gujarat,Howrah,4119245,16955.28417612697,Other,Industrial
2023,India,Nagaland,Siliguri,1585576,12431.933016318251,Other,Industrial
2015,India,Karnataka,Howrah,2405860,43224.92742663444,PVC,Household
2022,India,Nagaland,Siliguri,7141168,22420.908762321335,PP,Packaging
2015,India,Gujarat,Varanasi,9916225,34233.79865108187,Other,Industrial
2023,India,Gujarat,Siliguri,9224953,37083.38328936271,Other,Industrial
2022,India,Karnataka,Howrah,3188632,12152.039551506103,PVC,Industrial
2018,India,Karnataka,Varanasi,3109869,49475.11304974824,PP,Packaging
2015,India,Gujarat,Siliguri,4770397,8361.978316610102,Other,Household
2022,India,Gujarat,Siliguri,5776526,8249.667061676962,PVC,Packaging
2018,India,Karnataka,Varanasi,3595996,15170.397409238281,PP,Household
2023,India,Nagaland,Varanasi,3343389,35177.408117376275,PVC,Industrial
2015,India,Gujarat,Howrah,935189,14842.143462960867,PVC,Household
2017,India,Gujarat,Varanasi,9907777,28508.717699139444,PVC,Household
2019,India,Gujarat,Howrah,4873088,39065.311360678745,PP,Packaging
2015,India,Nagaland,Siliguri,856755,19612.674606230066,PVC,Household
2017,India,Karnataka,Howrah,4858819,23260.75282631154,PP,Household
2024,India,Nagaland,Howrah,5169523,49985.7714559879,Other,Packaging
2019,India,Gujarat,Siliguri,9166180,49775.685699664566,PVC,Packaging
2024,India,Gujarat,Siliguri,9389691,12370.127454411024,PP,Industrial
2022,India,Gujarat,Varanasi,1899660,5384.138412471871,PVC,Packaging
2015,India,Gujarat,Howrah,719398,46932.1919512167,PP,Packaging
2021,India,Karnataka,Howrah,283364,15546.346668482596,PVC,Household
2024,India,Karnataka,Howrah,8630243,15572.207085664004,Other,Packaging
2021,India,Karnataka,Siliguri,5106221,20060.506799863655,PVC,Packaging
2017,India,Nagaland,Howrah,7602691,39702.38243535947,Other,Packaging
2019,India,Karnataka,Howrah,6563405,8501.43945246007,PVC,Industrial
2022,India,Karnataka,Howrah,9009922,31560.43527428365,PP,Household
2018,India,Nagaland,Siliguri,4783836,27552.264200219674,PP,Packaging
2015,India,Nagaland,Varanasi,4839193,14637.908725806481,Other,Household
2017,India,Gujarat,Howrah,3027632,12227.560433794173,PP,Packaging
2017,India,Nagaland,Siliguri,8916537,48899.89780067245,PP,Industrial
2023,India,Gujarat,Siliguri,5614652,21785.112536774763,Other,Household
2020,India,Nagaland,Howrah,5278736,30031.496456310102,PVC,Packaging
2023,India,Gujarat,Howrah,6549006,15405.550103441165,PVC,Industrial
2021,India,Nagaland,Howrah,1989481,38653.30543278397,PVC,Household
2023,India,Gujarat,Siliguri,7788675,20779.07197310282,Other,Household
2024,India,Karnataka,Howrah,9738268,5484.637804274212,Other,Household
2016,India,Karnataka,Varanasi,5688909,15381.915849283067,Other,Household
2020,India,Karnataka,Varanasi,5868544,40134.67029786245,PP,Industrial
2015,India,Karnataka,Varanasi,2176608,47218.494852842574,PVC,Household
2024,India,Gujarat,Varanasi,7828380,3697.7074093552246,PP,Household
2019,India,Gujarat,Siliguri,2568191,7836.6543657280445,PVC,Packaging
2016,India,Gujarat,Varanasi,440027,41928.243767441134,Other,Industrial
2023,India,Nagaland,Siliguri,8346034,28439.60927456035,PVC,Household
2018,India,Karnataka,Varanasi,633287,16364.444174934104,PP,Industrial
2016,India,Gujarat,Varanasi,734877,2788.4409856213942,Other,Packaging
2020,India,Gujarat,Varanasi,6230499,35455.892943948485,PVC,Industrial
2016,India,Nagaland,Siliguri,4164568,30702.65392595738,PVC,Packaging
2020,India,Nagaland,Howrah,4466966,32651.24726151491,PVC,Industrial
2021,India,Nagaland,Varanasi,2058923,8826.237292121625,Other,Packaging
2018,India,Nagaland,Siliguri,529280,43577.25167128236,PVC,Household
2017,India,Gujarat,Siliguri,4052670,20282.230616045632,PP,Packaging
2023,India,Nagaland,Howrah,1476276,13416.874165105019,PVC,Industrial
2017,India,Karnataka,Siliguri,2123537,11882.151853893105,Other,Industrial
2019,India,Gujarat,Siliguri,3209676,45556.95332750011,PP,Industrial
2023,India,Nagaland,Howrah,9396940,7040.031007455151,Other,Packaging
2024,India,Gujarat,Varanasi,7904447,13622.88969247232,PP,Industrial
2015,India,Nagaland,Howrah,5328357,14701.533360168249,Other,Packaging
2021,India,Nagaland,Howrah,6624595,25325.971824364507,PVC,Industrial
2024,India,Nagaland,Siliguri,3231905,8665.908359872868,Other,Packaging
2020,India,Karnataka,Varanasi,8590409,29931.35205449497,PP,Household
2024,India,Nagaland,Siliguri,3765928,18236.821649296086,PVC,Household
2018,India,Karnataka,Howrah,5822786,18133.830888108092,PVC,Household
2022,India,Gujarat,Varanasi,735127,6948.944871916934,Other,Industrial
2019,India,Karnataka,Siliguri,8124579,24942.513575256922,PP,Packaging
2018,India,Karnataka,Howrah,7356457,4833.653837399188,Other,Industrial
2019,India,Karnataka,Howrah,2180197,25893.590508322086,Other,Household
2023,India,Nagaland,Siliguri,6722875,17945.465092508883,PVC,Household
2017,India,Nagaland,Siliguri,3522980,39009.27855671324,Other,Packaging
2016,India,Nagaland,Varanasi,3488154,9455.93186024952,Other,Household
2023,India,Nagaland,Varanasi,6179568,14173.184030771074,Other,Industrial
2019,India,Karnataka,Howrah,5620093,15554.288503775046,PP,Household
2021,India,Karnataka,Howrah,7268636,28105.58094479134,PP,Packaging
2023,India,Nagaland,Siliguri,2377001,45701.92824995984,PP,Industrial
2016,India,Karnataka,Howrah,8948870,24875.668316349755,Other,Household
2016,India,Gujarat,Howrah,5823922,23294.231723307843,Other,Industrial
2022,India,Karnataka,Howrah,3862262,25382.637047681143,Other,Household
2015,India,Karnataka,Howrah,5785449,37544.691759205794,Other,Household
2020,India,Gujarat,Varanasi,6320801,26072.338127957162,PVC,Household
2017,India,Gujarat,Howrah,6891629,12795.063112570935,Other,Household
2015,India,Nagaland,Howrah,7908758,2860.9971411387423,PP,Household
2023,India,Gujarat,Siliguri,9457213,6319.865833673626,Other,Packaging
2024,India,Nagaland,Varanasi,4612731,24942.269693533555,PVC,Packaging
2016,India,Karnataka,Howrah,1892333,43219.1223032656,PVC,Household
2021,India,Gujarat,Howrah,9134622,43215.91072568557,PP,Industrial
2019,India,Gujarat,Howrah,9979353,36393.929346203455,Other,Industrial
2022,India,Karnataka,Howrah,757047,37795.86813350967,PVC,Packaging
2018,India,Karnataka,Howrah,9605213,10211.644780153316,Other,Household
2022,India,Karnataka,Varanasi,2415043,47106.01769663253,PP,Industrial
2022,India,Karnataka,Siliguri,4370408,6776.1672610646365,PVC,Industrial
2024,India,Karnataka,Varanasi,9277536,31103.178837429994,PP,Packaging
2015,India,Nagaland,Howrah,6881211,31505.731890207222,Other,Packaging
2019,India,Gujarat,Howrah,1501408,13999.759196708912,Other,Household
2020,India,Nagaland,Siliguri,9414705,46002.58853267665,PP,Industrial
2024,India,Karnataka,Siliguri,605925,7996.092789186325,PP,Household
2018,India,Gujarat,Varanasi,3414263,26112.087269452528,Other,Industrial
2015,India,Nagaland,Howrah,8043145,3078.8649633639084,Other,Household
2019,India,Nagaland,Siliguri,2337928,2545.9415877586953,PVC,Packaging
2021,India,Karnataka,Howrah,3076622,8465.862025146685,PP,Household
2024,India,Nagaland,Howrah,1558964,18994.86077001446,Other,Industrial
2023,India,Karnataka,Howrah,9972134,12088.087703258638,PVC,Household
2015,India,Karnataka,Varanasi,3671429,35961.78329686568,PVC,Industrial
2015,India,Nagaland,Siliguri,8253669,7998.658324134813,PVC,Household
2023,India,Karnataka,Howrah,1881949,45162.13473909514,PVC,Household
2016,India,Gujarat,Varanasi,8769244,26895.76352621416,PP,Industrial
2015,India,Gujarat,Siliguri,6569049,38263.682781503885,PVC,Industrial
2022,India,Nagaland,Siliguri,3733524,32826.21748942806,PVC,Household
2018,India,Karnataka,Varanasi,1176800,43652.553930570095,PP,Household
2019,India,Karnataka,Varanasi,7322253,44268.70577214807,PP,Packaging
2019,India,Nagaland,Howrah,7025397,6682.67461435103,PP,Household
2015,India,Gujarat,Varanasi,266859,47064.054506139,PVC,Industrial
2015,India,Karnataka,Varanasi,3581240,42340.16685328479,PVC,Packaging
2024,India,Karnataka,Siliguri,1961208,24273.61156237847,Other,Industrial
2016,India,Karnataka,Varanasi,2952626,31656.021961442842,PP,Household
2016,India,Karnataka,Siliguri,6058397,10565.811771241699,PP,Industrial
2018,India,Gujarat,Siliguri,8159186,20493.30818557277,Other,Household
2022,India,Karnataka,Howrah,4790479,20066.14949464177,PVC,Household
2020,India,Nagaland,Varanasi,4183000,29583.67991904974,PP,Household
2015,India,Karnataka,Siliguri,1025216,36335.368160268255,Other,Packaging
2020,India,Gujarat,Howrah,7198494,15472.38156801747,PP,Packaging
2017,India,Nagaland,Siliguri,5947815,1215.724258371221,PP,Industrial
2016,India,Karnataka,Siliguri,6481508,5797.885643088622,PVC,Packaging
2020,India,Karnataka,Howrah,1143986,24826.810101220024,PP,Household
2019,India,Karnataka,Howrah,758692,26459.327533974687,Other,Packaging
2017,India,Karnataka,Howrah,1260012,39026.503340868025,PVC,Packaging
2019,India,Gujarat,Siliguri,1636566,44259.88881069164,PP,Household
2019,India,Karnataka,Howrah,170680,29350.00111259818,PP,Packaging
2021,India,Nagaland,Siliguri,564659,31745.196925306405,Other,Industrial
2022,India,Gujarat,Howrah,7827388,49829.471399271766,PVC,Packaging
2016,India,Nagaland,Howrah,2711380,34755.954309095774,PVC,Household
2019,India,Nagaland,Howrah,3005122,2781.4098567702276,PP,Household
2024,India,Karnataka,Varanasi,9599314,5359.731640264583,Other,Household
2023,India,Karnataka,Varanasi,3333768,16056.21565087255,Other,Industrial
2016,India,Karnataka,Siliguri,1257578,27223.64889327932,Other,Packaging
2021,India,Gujarat,Siliguri,8074225,30830.298628606575,PVC,Packaging
2017,India,Nagaland,Varanasi,6706787,3106.7929980476365,Other,Packaging
2019,India,Karnataka,Varanasi,4820265,15678.30058629885,PP,Packaging
2024,India,Nagaland,Varanasi,7424056,25495.21598820675,PVC,Industrial
2024,India,Karnataka,Howrah,390777,4734.3029708725335,PP,Household
2021,India,Karnataka,Siliguri,3945250,7270.87366938201,PVC,Household
2022,India,Karnataka,Siliguri,1002936,15470.717620065387,PP,Household
2017,India,Gujarat,Howrah,3456907,10683.585683747595,PVC,Household
2021,India,Gujarat,Siliguri,2569943,44109.29575282935,PVC,Household
2019,India,Nagaland,Howrah,4401475,19660.202603385616,Other,Household
2017,India,Nagaland,Varanasi,229777,39785.04848619563,Other,Packaging
2021,India,Gujarat,Varanasi,4645452,12738.950452417635,Other,Household
2015,India,Gujarat,Howrah,1678313,40530.12979106896,PVC,Industrial
2022,India,Nagaland,Siliguri,75563,11622.438291379862,Other,Packaging
2024,India,Karnataka,Varanasi,8549089,11423.595448669288,Other,Household
2018,India,Gujarat,Varanasi,2805064,7568.439035356352,Other,Household
2024,India,Nagaland,Siliguri,4239206,3983.3987574818275,Other,Household
2022,India,Gujarat,Siliguri,1066711,3629.7946482427787,PP,Packaging
2018,India,Nagaland,Varanasi,6993807,20821.681455879258,PP,Industrial
2016,India,Nagaland,Howrah,8438918,41555.22162873803,PVC,Household
2024,India,Nagaland,Varanasi,3732140,33782.55253182006,PP,Packaging
2023,India,Karnataka,Siliguri,4056379,25059.133029364093,PVC,Household
2017,India,Gujarat,Varanasi,1884769,1385.0920826123063,PVC,Packaging
2018,India,Karnataka,Varanasi,4732448,5615.575696973938,PVC,Industrial
2017,India,Gujarat,Howrah,4136327,4404.611287289398,PVC,Industrial
2015,India,Nagaland,Siliguri,4940191,36245.97584577134,PP,Household
2016,India,Nagaland,Varanasi,9124432,6508.512137525446,Other,Packaging
2016,India,Gujarat,Siliguri,1764197,31310.713352721494,Other,Packaging
2015,India,Nagaland,Varanasi,8594496,32713.26267130793,PP,Packaging
2016,India,Nagaland,Howrah,3642990,25645.18583513029,PP,Household
2024,India,Nagaland,Howrah,3221192,19896.44223319789,PP,Packaging
2023,India,Nagaland,Siliguri,2590732,27846.057644596905,PVC,Packaging
2016,India,Gujarat,Siliguri,5640487,8422.516345604974,PP,Industrial
2018,India,Gujarat,Howrah,4669047,3707.0222761549567,PP,Industrial
2019,India,Gujarat,Siliguri,2648105,19626.959472559716,Other,Packaging
2023,India,Gujarat,Howrah,5358524,13326.322054824464,PVC,Industrial
2023,India,Gujarat,Varanasi,6323386,28213.27362838263,PVC,Household
2018,India,Gujarat,Howrah,8875853,28652.731594013647,PP,Industrial
2021,India,Nagaland,Varanasi,8905894,41202.68650150211,PP,Packaging
2016,India,Karnataka,Varanasi,3550815,46055.649533902564,Other,Household
2018,India,Nagaland,Varanasi,620143,7648.407247430981,Other,Packaging
2021,India,Nagaland,Howrah,7513137,45026.38817929312,PP,Industrial
2018,India,Nagaland,Varanasi,9979706,10247.538727190116,Other,Packaging
2018,India,Karnataka,Howrah,8735943,14578.36981393944,PVC,Packaging
2022,India,Gujarat,Howrah,7282500,32947.37225049251,PP,Industrial
2015,India,Karnataka,Howrah,2061433,31867.59913275212,Other,Industrial
2024,India,Gujarat,Siliguri,3140952,10733.372438446886,PVC,Packaging
2015,India,Nagaland,Siliguri,7507167,42987.4430277701,PVC,Household
2018,India,Karnataka,Howrah,5792869,33912.12759539091,PP,Household
2021,India,Karnataka,Varanasi,2085970,47852.94456515082,PVC,Packaging
2021,India,Gujarat,Varanasi,7910129,16497.447006271548,PP,Packaging
2023,India,Nagaland,Varanasi,4162273,37263.103081703266,PVC,Packaging
2024,India,Nagaland,Siliguri,6902825,4052.2105255936353,Other,Household
2020,India,Nagaland,Howrah,2971037,42526.735289575634,PVC,Industrial
2023,India,Karnataka,Siliguri,3284940,18577.34772352521,PP,Industrial
2023,India,Nagaland,Siliguri,1724346,12886.817001974441,PP,Household
2019,India,Gujarat,Varanasi,8930294,36143.022555743846,Other,Packaging
2016,India,Nagaland,Siliguri,3460517,15536.580632761048,PP,Household
2015,India,Nagaland,Howrah,7009641,30615.331351711025,Other,Household
2023,India,Nagaland,Siliguri,379304,11132.91809878164,Other,Household
2020,India,Gujarat,Varanasi,2709135,21288.744896597535,Other,Packaging
2021,India,Nagaland,Howrah,5757324,12861.361349609393,PVC,Household
2018,India,Karnataka,Varanasi,5090873,49388.98773033726,PP,Industrial
2022,India,Karnataka,Howrah,6001062,47431.38171549434,PVC,Household
2019,India,Karnataka,Howrah,6884106,32642.182920775147,Other,Household
2022,India,Nagaland,Siliguri,3797613,14862.410988996453,PP,Packaging
2023,India,Nagaland,Varanasi,1716847,49733.26523371944,PP,Packaging
2018,India,Karnataka,Varanasi,3774575,42118.722523745004,PVC,Household
2017,India,Karnataka,Siliguri,7135072,35390.223386669066,Other,Industrial
2019,India,Karnataka,Howrah,883645,24387.980896138157,PP,Packaging
2017,India,Nagaland,Varanasi,3139267,25741.02205142558,Other,Industrial
2021,India,Nagaland,Siliguri,7102718,22498.947054704975,PVC,Household
2017,India,Karnataka,Siliguri,3940798,43507.94284744253,PVC,Industrial
2024,India,Nagaland,Howrah,2264575,44119.05143216815,PP,Packaging
2021,India,Karnataka,Siliguri,5248333,17109.24923094693,PVC,Industrial
2015,India,Gujarat,Howrah,5129303,29023.18767122139,PVC,Industrial
2015,India,Karnataka,Varanasi,4071218,5444.015550056222,Other,Industrial
2022,India,Karnataka,Howrah,3492866,44497.9822589899,PVC,Packaging
2018,India,Karnataka,Howrah,854300,23718.027045767856,PP,Packaging
2021,India,Gujarat,Howrah,9569404,16607.156726983536,Other,Household
2023,India,Gujarat,Howrah,370588,21402.908103795893,PVC,Household
2022,India,Karnataka,Varanasi,7309110,10989.54931953666,PVC,Packaging
2022,India,Nagaland,Varanasi,7161221,31743.848026604475,Other,Packaging
2024,India,Nagaland,Siliguri,1688569,49738.79962577037,PP,Industrial
2020,India,Karnataka,Siliguri,382717,10598.583744473046,PVC,Household
2015,India,Karnataka,Siliguri,2449680,19277.504785037785,Other,Packaging
2016,India,Karnataka,Howrah,6851249,12631.410747888287,PVC,Industrial
2021,India,Karnataka,Siliguri,9050868,31575.161216432425,Other,Industrial
2023,India,Nagaland,Howrah,7485029,49661.930544026945,PVC,Industrial
2017,India,Gujarat,Howrah,866053,26375.308685642874,PP,Household
2017,India,Gujarat,Siliguri,5332029,38235.953275863,Other,Household
2019,India,Gujarat,Varanasi,4683042,2116.9166440828376,Other,Industrial
2018,India,Gujarat,Siliguri,7317603,6562.664901460357,PVC,Household
2019,India,Gujarat,Siliguri,8240293,14279.734687079981,Other,Packaging
2016,India,Karnataka,Siliguri,2591270,24435.24662254541,PP,Industrial
2016,India,Gujarat,Siliguri,8427622,9241.292804251016,PP,Household
2018,India,Gujarat,Siliguri,8556580,38417.176759957394,PP,Industrial
2016,India,Gujarat,Siliguri,5280317,23826.424694518373,PVC,Household
2018,India,Karnataka,Howrah,1460675,3341.609007290058,PVC,Household
2021,India,Gujarat,Howrah,261030,30884.751635006884,Other,Household
2020,India,Gujarat,Siliguri,992372,45005.88687632763,PVC,Industrial
2023,India,Gujarat,Varanasi,1904804,8182.497217925466,PP,Industrial
2021,India,Karnataka,Varanasi,8193761,12451.514027914123,PP,Household
2023,India,Nagaland,Howrah,4283491,38883.90471050753,PP,Packaging
2022,India,Karnataka,Howrah,8915952,10592.988511257496,PP,Packaging
2024,India,Nagaland,Varanasi,430254,16576.658127347975,PVC,Household
2023,India,Gujarat,Varanasi,9080922,41165.519018888925,PVC,Packaging
2024,India,Karnataka,Varanasi,8420001,38384.737109539215,PVC,Household
2024,India,Karnataka,Siliguri,109345,19539.68309092303,PVC,Packaging
2020,India,Karnataka,Siliguri,4857191,26531.887370260727,PVC,Industrial
2015,India,Karnataka,Varanasi,2079996,28601.943242225065,Other,Packaging
2016,India,Nagaland,Siliguri,2534407,40177.37481726712,PP,Household
2017,India,Nagaland,Varanasi,1192678,7716.767279351719,Other,Packaging
2021,India,Gujarat,Howrah,7773681,21650.66699801774,PP,Packaging
2015,India,Karnataka,Howrah,3027891,35880.678210225786,Other,Packaging
2022,India,Nagaland,Siliguri,1610479,39261.693198107525,PP,Packaging
2015,India,Karnataka,Varanasi,9049467,8636.145355106073,PVC,Household
2021,India,Gujarat,Howrah,8869863,45963.356360983664,PP,Packaging
2017,India,Gujarat,Howrah,8395165,6517.28290142333,PVC,Industrial
2023,India,Karnataka,Howrah,8191236,26642.29773680764,PP,Packaging
2016,India,Nagaland,Varanasi,5060987,37079.21090924545,PVC,Industrial
2022,India,Nagaland,Siliguri,689772,2640.575746229425,PVC,Packaging
2015,India,Nagaland,Siliguri,2641942,36999.48772450581,PP,Household
2023,India,Gujarat,Howrah,9700355,27614.02333756743,PP,Packaging
2023,India,Karnataka,Varanasi,8114778,10118.988819805665,PVC,Packaging
2020,India,Nagaland,Varanasi,2938837,19162.517455428126,Other,Household
2022,India,Nagaland,Siliguri,1193225,6244.60006164516,Other,Household
2020,India,Gujarat,Siliguri,7019606,32610.499078947963,PVC,Household
2016,India,Gujarat,Howrah,7965851,3915.730652090487,Other,Industrial
2019,India,Karnataka,Varanasi,7991331,28069.716641188825,PVC,Packaging
2023,India,Gujarat,Varanasi,7150776,2504.2938042929723,Other,Industrial
2019,India,Gujarat,Siliguri,9877679,28585.5230731934,PVC,Packaging
2024,India,Gujarat,Varanasi,4059364,28705.49157662354,Other,Packaging
2015,India,Karnataka,Varanasi,9722002,30027.46382111629,PP,Packaging
2016,India,Nagaland,Howrah,5053075,28072.836638280267,Other,Industrial
2016,India,Nagaland,Howrah,3013576,35099.1791998727,Other,Industrial
2024,India,Karnataka,Howrah,9986228,36018.17297516686,Other,Industrial
2020,India,Gujarat,Varanasi,4021017,2205.250651709159,Other,Household
2019,India,Karnataka,Siliguri,1056616,14727.677007251847,PVC,Household
2021,India,Gujarat,Howrah,9049144,27268.987624558893,Other,Household
2019,India,Nagaland,Siliguri,5916223,26182.079888650424,PP,Industrial
2018,India,Gujarat,Varanasi,7173904,19678.312749117016,Other,Packaging
2023,India,Nagaland,Varanasi,822163,35078.57337762203,PP,Packaging
2016,India,Karnataka,Varanasi,6012659,48604.060582568934,PP,Household
2024,India,Nagaland,Varanasi,2759425,40709.97434625,PVC,Packaging
2015,India,Nagaland,Howrah,7637429,35167.50184418712,PP,Household
2016,India,Nagaland,Varanasi,355288,47450.019813080005,PP,Household
2019,India,Gujarat,Siliguri,1802430,31474.221681267714,PP,Household
2015,India,Gujarat,Howrah,7352077,49162.861807997106,PVC,Industrial
2024,India,Karnataka,Siliguri,8298995,32486.77826563161,Other,Industrial
2018,India,Nagaland,Siliguri,2323094,17908.389297703165,Other,Household
2023,India,Karnataka,Howrah,2726210,40237.554525000975,Other,Packaging
2021,India,Karnataka,Siliguri,7812155,47737.17861833224,Other,Household
2022,India,Gujarat,Howrah,9921283,14609.4634923355,Other,Packaging
2024,India,Karnataka,Siliguri,9683195,3097.5409346298497,PVC,Industrial
2021,India,Gujarat,Siliguri,2938272,26359.561611882033,Other,Industrial
2020,India,Gujarat,Howrah,1727676,31207.304635696128,PP,Household
2024,India,Gujarat,Howrah,171874,16821.690806652834,PVC,Packaging
2019,India,Nagaland,Howrah,5469145,38828.83270340845,PP,Household
2016,India,Gujarat,Siliguri,4396884,38514.55920004845,Other,Industrial
2022,India,Gujarat,Varanasi,5122826,44730.63911338524,Other,Industrial
2015,India,Gujarat,Varanasi,854375,33428.340383009214,PP,Household
2018,India,Karnataka,Siliguri,9835559,23172.066768366363,Other,Industrial
2016,India,Nagaland,Varanasi,298857,41683.87123765287,PVC,Packaging
2018,India,Nagaland,Howrah,5312161,26251.780244751288,PVC,Packaging
2021,India,Karnataka,Howrah,6269090,12608.938063675305,PP,Industrial
2018,India,Nagaland,Siliguri,8061233,10223.756489468731,PP,Household
2016,India,Nagaland,Siliguri,489104,49305.85351005476,Other,Household
2024,India,Gujarat,Howrah,2348889,2518.8315191122538,PP,Industrial
2022,India,Nagaland,Howrah,4244187,22940.69897418308,PVC,Packaging
2024,India,Karnataka,Varanasi,2141777,3890.5519398867286,Other,Packaging
2021,India,Nagaland,Howrah,8632309,33388.18281621623,PVC,Household
2022,India,Karnataka,Howrah,5859736,37667.73882556333,PP,Packaging
2015,India,Gujarat,Varanasi,3035820,8118.468544440698,PVC,Industrial
2016,India,Gujarat,Varanasi,6263106,25477.190403384724,PVC,Packaging
2024,India,Nagaland,Siliguri,6556765,45482.43348790935,PP,Household
2024,India,Nagaland,Howrah,7296295,49748.525883046816,PP,Industrial
2020,India,Nagaland,Siliguri,1018167,2981.212920665088,Other,Industrial
2015,India,Gujarat,Siliguri,8660680,4492.823629969782,PVC,Household
2020,India,Nagaland,Varanasi,2704901,15503.23324093106,PVC,Packaging
2021,India,Karnataka,Howrah,7992279,47157.26658115564,Other,Household
2022,India,Gujarat,Siliguri,6723156,28762.401540477425,Other,Packaging
2021,India,Nagaland,Howrah,5378837,43610.28767141343,PP,Household
2021,India,Gujarat,Varanasi,6574513,6949.67703651379,PP,Household
2023,India,Nagaland,Varanasi,9847523,42079.556275608156,PVC,Household
2021,India,Karnataka,Varanasi,8840384,4717.169592042575,PVC,Industrial
2021,India,Nagaland,Howrah,1147337,16028.96969599301,PVC,Household
2024,India,Nagaland,Varanasi,3413992,47983.31968701065,PP,Industrial
2020,India,Karnataka,Siliguri,2609580,4849.366002056286,PP,Packaging
2017,India,Gujarat,Siliguri,6306511,16716.35434354885,PP,Packaging
2019,India,Gujarat,Howrah,4243975,49576.44021177173,PP,Industrial
2020,India,Gujarat,Varanasi,8631273,4207.3589814262305,Other,Household
2020,India,Gujarat,Howrah,9892591,4845.409434595458,Other,Industrial
2020,India,Nagaland,Howrah,4042124,27121.260253970366,Other,Household
2024,India,Karnataka,Varanasi,2876339,39181.61289452077,PP,Industrial
2018,India,Gujarat,Siliguri,5547333,25182.19641766046,PP,Household
2023,India,Karnataka,Siliguri,1954068,39167.08337954439,PVC,Industrial
2018,India,Gujarat,Howrah,2699487,28916.076272368304,Other,Packaging
2020,India,Nagaland,Varanasi,6233146,43502.95504213593,PVC,Packaging
2021,India,Nagaland,Howrah,9075174,49789.61721859222,PVC,Industrial
2015,India,Karnataka,Howrah,9357913,7067.113158969474,Other,Packaging
2017,India,Nagaland,Siliguri,6474545,3079.8227893573508,Other,Household
2016,India,Karnataka,Howrah,6826098,35108.755094068714,PVC,Packaging
2016,India,Karnataka,Howrah,6974256,5587.524537258366,Other,Packaging
